,sahm,indpro,sp500,tr10,t10yff,unrate,pcepi,recession,date
130,-0.13,0.011770076865677765,0.04460761441838334,-0.19899999999999984,1.2335,0.053,0.06400000000000006,0,1972-11-01
131,-0.13,0.011198082864492644,0.011758826695756243,0.07800000000000029,1.0325,0.052000000000000005,0.06899999999999906,0,1972-12-01
132,-0.17,0.007225042839836005,-0.017259485172067785,0.10604545454545455,0.5090909090909091,0.049,0.06500000000000128,0,1973-01-01
133,-0.03,0.01426844362119767,-0.03821113934539171,0.1710101010101006,0.09277777777777778,0.05,0.11400000000000077,0,1973-02-01
134,-0.03,0.0004280606118497335,-0.0014336920018486968,0.07353535353535356,-0.3318181818181818,0.049,0.15499999999999758,0,1973-03-01
135,0.0,-0.0013767219604594646,-0.04165552569417425,-0.04059090909090912,-0.45999999999999996,0.05,0.16300000000000026,0,1973-04-01
136,-0.03,0.006548249473565408,-0.01906437505139743,0.17877272727272686,-0.9709090909090908,0.049,0.10900000000000176,0,1973-05-01
137,-0.07,0.0012876006742221686,-0.006596266926682109,0.05272727272727362,-1.592857142857143,0.049,0.1269999999999989,0,1973-06-01
138,-0.1,0.0036976340855684377,0.037278412874629255,0.23095238095238102,-3.301428571428571,0.048,0.08099999999999952,0,1973-07-01
139,-0.07,-0.0013961166260316703,-0.03737433153567837,0.2738302277432707,-3.045217391304348,0.048,0.25900000000000034,0,1973-08-01
140,0.0,0.007920202637356082,0.03931294280517974,-0.31425629290617874,-3.622105263157895,0.048,0.08999999999999986,0,1973-09-01
141,-0.07,0.008035045199364323,-0.0012919898438024683,-0.29624060150375886,-3.1733333333333333,0.046,0.12900000000000134,0,1973-10-01
142,-0.03,0.004549576554483608,-0.12088137566879437,-0.065785714285715,-3.38,0.048,0.18799999999999883,0,1973-11-01
143,0.03,-0.0028241465709014134,0.01643362909762641,0.015184210526316022,-3.1373684210526314,0.049,0.19000000000000128,1,1973-12-01
144,0.23,-0.006666990590416065,-0.010096933090293792,0.2449521531100478,-2.640909090909091,0.051,0.22299999999999898,1,1974-01-01
145,0.4,-0.003040599373275819,-0.0036308977075188197,-0.03141414141414067,-2.0027777777777778,0.052000000000000005,0.2740000000000009,1,1974-02-01
146,0.5,-5.949606831894254e-05,-0.023555242596637976,0.25182539682539584,-2.1266666666666665,0.051,0.2759999999999998,1,1974-03-01
147,0.43,-0.002930702508568731,-0.03983379741196225,0.3033333333333337,-2.98,0.051,0.16999999999999815,1,1974-04-01
148,0.43,0.007953347895455194,-0.03412685473789204,0.0635281385281381,-3.688636363636364,0.051,0.23900000000000077,1,1974-05-01
149,0.47,-0.0019027789157807075,-0.014774045271307656,-0.04040909090908951,-4.32,0.054000000000000006,0.20800000000000196,1,1974-06-01
150,0.57,0.0020189790827573515,-0.08098307215827948,0.26949999999999985,-5.074545454545454,0.055,0.1819999999999986,1,1974-07-01
151,0.63,-0.01065205638829282,-0.09461693887534836,0.23909090909090924,-3.9295454545454547,0.055,0.26000000000000156,1,1974-08-01
152,0.83,0.00016395621962568663,-0.12707765637850985,-0.006590909090910202,-3.2674999999999996,0.059000000000000004,0.26099999999999923,1,1974-09-01
153,1.07,-0.003166445013414281,0.15104319911278605,-0.14068181818181813,-2.1604545454545456,0.06,0.1819999999999986,1,1974-10-01
154,1.43,-0.03345026237127862,-0.05464624919635083,-0.21570707070707051,-1.718888888888889,0.066,0.19200000000000017,1,1974-11-01
155,1.83,-0.03661552585630951,-0.020357304468280935,-0.24730158730158802,-0.9923809523809524,0.07200000000000001,0.20400000000000063,1,1974-12-01
156,2.37,-0.013956193454435098,0.1158363735660757,0.06755411255411303,0.3154545454545455,0.081,0.16100000000000136,1,1975-01-01
157,2.77,-0.023076037919437638,0.058161057585108714,-0.10914141414141376,1.205,0.081,0.14199999999999946,1,1975-02-01
158,3.27,-0.01106401885974519,0.02146187256434792,0.3357777777777775,2.2855,0.086,0.08899999999999864,1,1975-03-01
159,3.5,0.0019190986129222123,0.04618188484049969,0.4988181818181818,2.7077272727272725,0.08800000000000001,0.08900000000000219,0,1975-04-01
160,3.83,-0.0029250971512293617,0.043156038279115586,-0.16729437229437139,2.8328571428571427,0.09,0.1059999999999981,0,1975-05-01
161,3.77,0.006302051608945316,0.04336839313854175,-0.1985714285714284,2.3328571428571427,0.08800000000000001,0.16600000000000037,0,1975-06-01
162,3.5,0.010365890635813987,-0.07005146590768875,0.20041125541125382,1.979090909090909,0.086,0.2289999999999992,0,1975-07-01
163,3.17,0.009798799105239807,-0.0212955721698999,0.3362554112554115,2.271904761904762,0.084,0.11700000000000088,0,1975-08-01
164,2.87,0.01285970121062896,-0.0352598751893051,0.029047619047620543,2.201904761904762,0.084,0.13400000000000034,0,1975-09-01
