,sahm,indpro,sp500,tr10,t10yff,unrate,pcepi,payems,houst,recession
1983-03-01,1.57,0.0082736512092114,0.0325588522881388,-0.2182151029748293,1.6791304347826086,0.103,0.0589999999999975,0.8229714650087677,0.5595238095238095,0
1983-04-01,1.27,0.0125807940102151,0.0723084984230436,-0.106521739130434,1.616,0.102,0.2100000000000008,0.8269966523194644,0.4930555555555555,0
1983-05-01,0.97,0.0061464070868603,-0.0124840982491385,-0.0200000000000013,1.7190476190476192,0.1009999999999999,0.1310000000000002,0.8272357723577236,0.6438492063492063,0
1983-06-01,0.7,0.0060619632941515,0.0318179735798746,0.4686363636363637,1.8322727272727275,0.1009999999999999,0.1730000000000018,0.8311015463095808,0.6225198412698412,0
1983-07-01,0.3,0.0147851298756492,-0.0307716586667535,0.5283636363636361,2.0065,0.094,0.2629999999999981,0.8326558265582655,0.6483134920634921,0
1983-08-01,-0.07,0.0117858838809042,0.0112553182319625,0.469086956521739,2.284782608695652,0.095,0.2000000000000028,0.8038020086083214,0.7103174603174602,0
1983-09-01,-0.23,0.0143845677984222,0.010106903596582,-0.1922774327122152,2.209047619047619,0.092,0.1649999999999991,0.8606328710345927,0.6111111111111112,0
1983-10-01,-0.23,0.0077302963619989,-0.0152906322342686,-0.1128095238095223,2.117,0.088,0.0799999999999983,0.8269567989797545,0.6135912698412698,0
1983-11-01,-0.37,0.0044723902969888,0.0172757744027152,0.1490000000000009,2.3278947368421057,0.085,0.0670000000000001,0.8302247728359636,0.6483134920634921,0
1983-12-01,-0.33,0.004935500515613,-0.0088733869270473,0.1395238095238085,2.288095238095238,0.083,0.0259999999999962,0.8302247728359636,0.6001984126984126,0
1984-01-01,-0.27,0.0196585483927546,-0.0092587613963681,-0.1552380952380954,2.091904761904762,0.08,0.206000000000003,0.833731866730432,0.7038690476190477,0
1984-02-01,-0.2,0.0045135756588742,-0.0396344821169641,0.1678195488721812,2.221578947368421,0.078,0.3200000000000003,0.8353658536585366,0.8839285714285714,0
1984-03-01,-0.13,0.0047624758169489,0.0134077394309747,0.4769856459330128,2.415909090909091,0.078,0.1569999999999964,0.8269169456400446,0.5877976190476191,0
1984-04-01,-0.07,0.0059724699340848,0.0054506290381688,0.3144090909090913,2.2845,0.077,0.1829999999999998,0.8305435995536425,0.6810515873015872,0
1984-05-01,-0.1,0.0053199450610998,-0.0611910114881292,0.7751363636363635,2.930454545454545,0.074,0.0609999999999999,0.8282719591901802,0.6428571428571428,0
1984-06-01,-0.23,0.0036359349727089,0.0173184455537045,0.154220779220779,2.48,0.072,0.0860000000000056,0.8312609596684202,0.6770833333333333,0
1984-07-01,-0.1,0.0027802772809431,-0.0165880580838988,-0.2004761904761896,2.0561904761904763,0.075,0.1729999999999947,0.8284313725490197,0.6220238095238095,0
1984-08-01,0.0,0.0011965214222949,0.1010501641567041,-0.6462939958592155,1.0634782608695652,0.075,0.1490000000000009,0.8257611987884584,0.5496031746031746,0
1984-09-01,0.1,-0.0028339635197647,-0.0034857899350035,-0.1934553775743683,1.2573684210526317,0.073,0.0660000000000025,0.8285110792284394,0.6051587301587302,0
1984-10-01,0.07,-0.0004083997959575,-6.020650834168813e-05,-0.3621770334928254,2.158636363636364,0.074,0.1150000000000019,0.8274350390562729,0.5515873015873016,0
1984-11-01,-0.03,0.0033358959041031,-0.0152276428040793,-0.5878229665071757,2.1957894736842105,0.072,0.0689999999999955,0.8301450661565439,0.6006944444444444,0
1984-12-01,-0.07,0.0004876948813529,0.0221277391815362,-0.0731315789473665,3.1325,0.073,0.1380000000000052,0.821058504702694,0.5625,0
1985-01-01,0.03,-0.000524373285113,0.0714692732923798,-0.1152142857142877,2.993809523809524,0.073,0.2449999999999974,0.8266379722620756,0.6116071428571428,0
