Date,Open,High,Low,Close,Volume
1/31/1962,71.55,71.96,67.55,68.84,44883332
2/28/1962,68.84,71.13,68.56,69.96,36738890
3/31/1962,69.96,71.44,69.16,69.55,38022223
4/30/1962,69.55,69.82,64.95,65.24,36244446
5/31/1962,65.24,66.93,53.13,59.63,61683334
6/30/1962,59.63,59.96,51.35,54.75,55644443
7/31/1962,54.75,58.67,54.47,58.23,41200002
8/31/1962,58.23,60.33,56.76,59.12,44666665
9/30/1962,59.12,59.54,55.53,56.27,34938889
10/31/1962,56.27,57.83,52.55,56.52,43716667
11/30/1962,56.52,62.78,55.9,62.26,53344444
12/31/1962,62.26,63.5,61.28,63.1,44927778
1/31/1963,63.1,66.59,62.32,66.2,56650000
2/28/1963,66.31,66.96,64.08,64.29,43955555
3/31/1963,64.29,67.01,63.8,66.57,41533335
4/30/1963,66.57,70.18,66.23,69.8,59049999
5/31/1963,69.8,71.14,69.03,70.8,58372220
6/30/1963,70.8,71.24,68.78,69.37,50322224
7/31/1963,69.37,70.48,67.54,69.13,42394446
8/31/1963,69.13,72.71,68.64,72.5,50916665
9/30/1963,72.5,73.87,71.28,71.7,59233335
10/31/1963,71.7,75.18,71.57,74.01,67977777
11/30/1963,74.01,74.44,69.48,73.23,52216666
12/31/1963,73.23,75.36,73.02,75.02,54811110
1/31/1964,75.02,77.78,74.82,77.04,64788887
2/29/1964,77.04,78.31,76.36,77.8,48950001
3/31/1964,77.8,79.89,77.5,78.98,63199999
4/30/1964,78.98,81.2,78.67,79.46,68605554
5/31/1964,79.46,81.81,78.44,80.37,55083333
6/30/1964,80.37,82.1,78.15,81.69,53416667
7/31/1964,81.69,84.33,81.46,83.18,56994444
8/31/1964,83.18,83.49,80.8,81.83,45711112
9/30/1964,81.83,84.8,81.57,84.18,60983332
10/31/1964,84.18,85.7,83.65,84.86,59194445
11/30/1964,84.86,86.8,84.1,84.42,52022222
12/31/1964,84.42,85.18,82.65,84.75,57783331
1/31/1965,84.75,88.19,83.77,87.56,60627777
2/28/1965,87.56,88.06,85.25,87.43,62377779
3/31/1965,87.43,87.93,85.65,86.16,69349998
4/30/1965,86.16,89.64,85.87,89.11,66177782
5/31/1965,89.11,90.68,87.24,88.42,61216668
6/30/1965,88.42,88.8,80.73,84.12,71200000
7/31/1965,84.12,86.47,83.3,85.25,47305558
